品牌(中文),品牌(英文),品类,类别,,,,风格,,档次,
自然元素,,美妆,,,,,,,,大众
自然之宝,,美妆,,,,,,,,大众
邓禄普,DUNLOP,瘦身纤体,,,,,,,,
必瘦站,Perfect Shape,瘦身纤体,,,,,,,,
,TWG,瘦身纤体,,,,,,,,
八马茶业,,瘦身纤体,,,,,,,,
碱纤体,,瘦身纤体,,,,,,,,
力美健,,瘦身纤体,,,,,,,,
丽妍雅集,,瘦身纤体,,,,,,,,
俪美快巴,,瘦身纤体,,,,,,,,
奈瑞儿,,瘦身纤体,,,,,,,,
颐尊,,瘦身纤体,,,,,,,,
阿迪达斯,adidas,箱包,,,,,,,,中档
艾奈儿,Allaire,箱包,,,,,,,,高档
雅格狮丹,aquascuturm,箱包,,,,,,,,高档
巴黎世家,Balenciaga,箱包,,,,,,,,奢侈
葆蝶家,Bottega Veneta,箱包,,,,,,,,高档
美国骆驼,CAMEL,箱包,,,,,,,,大众
法文箱子,CEE’II BETU,箱包,,,,,,,,高档
香奈儿,CHANEL,箱包,,,,,,,,奢侈
珂洛艾伊,Chloe,箱包,,,,,,,,奢侈
,CHLOE,箱包,,,,,,,,奢侈
蔻驰,COACH,箱包,,,,,,,高档,奢侈
,COCCINELLE,箱包,,,,,,,,高档
古驰,cucci,箱包,,,,,,,,奢侈
迪桑娜,DISSONA,箱包,,,,,,,,中档
,DKNY JEANS,箱包,,,,,,,,高档
芬迪,FENDI,箱包,,,,,,,,高档
金狐狸,FOXER,箱包,,,,,,,,大众
纪梵希,Givenchy,箱包,,,,,,,,奢侈
古驰,Gucci,箱包,,,,,,,,奢侈
盖尔斯,GUESS,箱包,,,,,,,,中档
爱马仕,Hermes,箱包,,,,,,,高档,奢侈
凯特·丝蓓,kate spade,箱包,,,,,,,,高档
吉普林,kipling,箱包,,,,,,,,中档
拉科斯特,Lacoste,箱包,,,,,,,,高档
老人头,laorentou,箱包,,,,,,,,大众
罗意威,LOEWE,箱包,,,,,,,,高档
珑镶,LONGCHAMP,箱包,,,,,,,,高档
路易威登,LOUIS VUITTON,箱包,,,,,,,,奢侈
莉琨,Lovcat,箱包,,,,,,,,中档
罗茜奥,LOZIO,箱包,,,,,,,,中档
路易威登,LV,箱包,,,,,,,,奢侈
马克·雅可布之马克,MARC BY MARC JACOBS,箱包,,,,,,,,高档
,Mcm,箱包,,,,,,,,奢侈
MONGO,MNG,箱包,,,,,,,,高档
梦特娇,MONTAGUT,箱包,,,,,,,,大众
莫斯奇诺 ,moschino,箱包,,,,,,,,高档
尼诺里拉,ninoriva,箱包,,,,,,,,高档
芭迪,PATTY,箱包,,,,,,,,中档
花花公子,Playboy,箱包,,,,,,,,大众
普拉达,PRADA,箱包,,,,,,,,奢侈
,Salad,箱包,,,,,,,,中档
新秀丽,Samsonite,箱包,,,,,,,,中档
,she’s,箱包,,,,,,,,中档
思加图,STACCATO,箱包,,,,,,,,高档
,TOUGH,箱包,,,,,,,,中档
,UGG Australia,箱包,,,,,,,,高档
范思哲,VERSACE,箱包,,,,,,,,中档
,ZARA,箱包,,,,,,,,中档
莎莎苏,zsazsazsu,箱包,,,,,,,,高档
箱子,,箱包,,,,,,,,大众
,ONLY,鞋帽,女鞋,,,,潮流时尚,,,中档
铁狮东尼,A.TESTONI,鞋帽,女鞋,男鞋,,,潮流,商务,,高档
,accessorize,鞋帽,配饰,,,,潮流,,,高档
阿迪达斯,adidas,鞋帽,男鞋,女鞋,配饰,,运动,户外,,中档
爱柔仕,AEROSOLES,鞋帽,女鞋,,,,休闲,,,大众
,aigle,鞋帽,男鞋,女鞋,,,潮流,休闲,,高档
,Allen Edmonds,鞋帽,配饰,男鞋,,,商务,,,奢侈
安踏,anta,鞋帽,男鞋,女鞋,,,运动,户外,,大众
阿玛尼,Armani,鞋帽,配饰,,,,潮流,,,奢侈
艾迪米斯,Artemis,鞋帽,女鞋,,,,休闲,,,中档
,AS,鞋帽,女鞋,,,,商务,,,中档
芭芬,baffn,鞋帽,女鞋,,,,休闲,,,中档
巴利,Bally,鞋帽,女鞋,配饰,,,商务,,,奢侈
百思图,BASTO,鞋帽,女鞋,,,,休闲,,,中档
拔佳,BATA,鞋帽,女鞋,,,,休闲,,,中档
,Bata,鞋帽,女鞋,男鞋,童鞋,,休闲,潮流,,中档
,bauhaus,鞋帽,配饰,,,,潮流,,,中档
,beartwo,鞋帽,配饰,女鞋,,,潮流,,,中档
百丽,Belle,鞋帽,女鞋,,,,休闲,,,大众
博斯里拉,bosilila,鞋帽,男鞋,女鞋,,,潮流,,,高档
博斯,BOSSsunwen,鞋帽,男鞋,配饰,,,商务,,,奢侈
葆蝶家,Bottega Veneta,鞋帽,配饰,,,,商务,,,高档
,Bread N Butter,鞋帽,配饰,女鞋,,,商务,,,高档
布里奥尼,BRIONI,鞋帽,配饰,,,,商务,,,奢侈
宝丽格,BVLGARI,鞋帽,配饰,,,,商务,,,高档
千百度,c.banner,鞋帽,女鞋,,,,休闲,,,中档
,C.P.U,鞋帽,女鞋,,,,潮流,,,高档
,Calvin,鞋帽,配饰,,,,商务,,,高档
,Calvin Klein Jeans,鞋帽,配饰,,,,休闲,潮流,,高档
骆驼,CAMEL,鞋帽,男鞋,女鞋,,,户外,休闲,大众,中档
,CANALI,鞋帽,配饰,,,,商务,,,奢侈
卡丹路,Cardanro,鞋帽,男鞋,,,,休闲,,,大众
,CAT,鞋帽,男鞋,,,,潮流,,,中档
卡威奴,Cavieno,鞋帽,女鞋,,,,休闲,,,中档
柯兰诺,Celano,鞋帽,女鞋,,,,休闲,,,高档
策乐,cele,鞋帽,女鞋,男鞋,,,休闲,潮流,,中档
,CELINE,鞋帽,配饰,,,,潮流,,,奢侈
香奈儿,CHANEL,鞋帽,配饰,,,,商务,潮流,,奢侈
,CHECHE,鞋帽,配饰,,,,,,,高档
秋水伊人,chiushui,鞋帽,女鞋,,,,休闲,,,大众
,CHLOE,鞋帽,配饰,,,,潮流,,,奢侈
,CK,鞋帽,配饰,,,,潮流,,,高档
其乐,Clarks,鞋帽,男鞋,,,,休闲,,,中档
真适意,CNE,鞋帽,女鞋,,,,潮流,,,中档
蔻驰,COACH,鞋帽,配饰,男鞋,女鞋,,商务,,,奢侈
,COCCINELLE,鞋帽,配饰,女鞋,,,商务,,,高档
哥伦比亚,Columbia,鞋帽,配饰,男鞋,女鞋,,休闲,户外,,高档
康莉,COMELY,鞋帽,女鞋,,,,休闲,,,中档
匡威,CONVERSE,鞋帽,男鞋,,,,休闲,,,中档
羚羊,couber.g,鞋帽,男鞋,女鞋,,,商务,运动,,中档
鳄鱼恤,crocodile,鞋帽,女鞋,,,,休闲,,,大众
鳄鱼,crocs,鞋帽,男鞋,女鞋,,,休闲,,,高档
,d:fuse,鞋帽,女鞋,,,,商务,,,中档
达芙妮,Daphne,鞋帽,女鞋,,,,休闲,,,大众
,DEVIL NUT,鞋帽,配饰,,,,运动,潮流,,中档
,Diane von Furstenberg,鞋帽,配饰,女鞋,,,商务,,,奢侈
唐可娜儿,DKNY,鞋帽,配饰,,,,潮流,,,奢侈
杜嘉班纳,DOLCE & GABBANA,鞋帽,配饰,,,,潮流,,,奢侈
江博士健康鞋,Dr.Kong,鞋帽,童鞋,,,,休闲,,,中档
,easyspirit,鞋帽,女鞋,男鞋,,,休闲,,,中档
爱步,ECCO,鞋帽,男鞋,女鞋,童鞋,,商务,休闲,,中档
,EIN,鞋帽,女鞋,配饰,,,潮流,,,高档
思捷,ESPRIT,鞋帽,女鞋,男鞋,配饰,,运动,休闲,,中档
,FED,鞋帽,女鞋,,,,商务,潮流,,高档
富贵鸟,FGN,鞋帽,男鞋,,,,商务,休闲,,大众
,Fornafina,鞋帽,女鞋,配饰,,,潮流,,,中档
嘎嘎,gaga,鞋帽,女鞋,,,,潮流,,,中档
,GANT,鞋帽,女鞋,男鞋,配饰,,商务,,,中档
健乐士 ,Geox,鞋帽,男鞋,女鞋,,,休闲,,,高档
纪梵希,Givenchy,鞋帽,配饰,,,,潮流,,,奢侈
金利来,Goldlion,鞋帽,配饰,男鞋,,,商务,休闲,,中档
古驰,Gucci,鞋帽,配饰,男鞋,女鞋,,商务,潮流,,奢侈
哈森,Harson,鞋帽,男鞋,女鞋,,,休闲,,,中档
哈瓦那,havaianas,鞋帽,男鞋,,,,休闲,,,中档
爱马仕,HERMES,鞋帽,配饰,,,,商务,,,奢侈
红科,HONGKEE,鞋帽,女鞋,,,,休闲,,,中档
红科,hongkee,鞋帽,女鞋,,,,商务,,,高档
暇步士,Hush Puppies,鞋帽,男鞋,,,,商务,,,中档
,IGER,鞋帽,女鞋,,,,潮流,,,高档
宾度,J.Benato,鞋帽,男鞋,,,,休闲,,,高档
,Jimmy,鞋帽,女鞋,,,,休闲,商务,,奢侈
,JOY&PEACE,鞋帽,女鞋,,,,潮流,,,中档
七月恋人,JULY LOVER,鞋帽,女鞋,,,,休闲,,,中档
卡迪娜,KADINA,鞋帽,女鞋,,,,休闲,,,中档
康威,kangwei,鞋帽,男鞋,,,,休闲,,,中档
卡尼亚,kania,鞋帽,配饰,,,,潮流,,,高档
卡帕,kappa,鞋帽,男鞋,女鞋,,,运动,休闲,,高档
,KEEN,鞋帽,男鞋,女鞋,,,户外,,,高档
,KENZO,鞋帽,配饰,,,,运动,潮流,,高档
接吻猫,Kiss Cat,鞋帽,女鞋,,,,休闲,,,中档
接吻猫,KISS CAT,鞋帽,女鞋,,,,休闲,潮流,,中档
,knoway,鞋帽,男鞋,女鞋,,,户外,,,高档
高琪,KUUKI,鞋帽,女鞋,,,,休闲,,,中档
鳄鱼,LACOSTE,鞋帽,男鞋,,,,休闲,,,大众
莱尔斯丹,Le Saunda,鞋帽,女鞋,,,,商务,,,中档
莱思丽,LESELE,鞋帽,女鞋,,,,休闲,,,中档
李宁,li-ning,鞋帽,男鞋,,,,运动,,,大众
乐途,lotto,鞋帽,男鞋,女鞋,,,运动,休闲,,大众
米莲诺,mileno,鞋帽,女鞋,,,,休闲,,,中档
妙丽,Millies,鞋帽,女鞋,,,,休闲,,,中档
美丽宝,mirabell,鞋帽,男鞋,女鞋,,,商务,潮流,,中档
美津浓,Mizuno,鞋帽,男鞋,,,,运动,,,中档
,MLB,鞋帽,配饰,男鞋,,,潮流,,,高档
娜然,Naturalizer,鞋帽,女鞋,,,,休闲,,,中档
,NBA,鞋帽,男鞋,,,,运动,,,中档
耐克,NIKE 360°,鞋帽,男鞋,女装,,,运动,,,中档
玖熙,NINE WEST,鞋帽,男鞋,女鞋,配饰,,休闲,运动,中档,高档
鬼冢虎,onitsukatiger,鞋帽,男鞋,女鞋,,,运动,,,中档
帕拉丁,Palladium,鞋帽,男鞋,女鞋,,,休闲,,,中档
芭迪,PATTY,鞋帽,女鞋,,,,休闲,,,大众
大嘴猴,Paul Homme,鞋帽,男鞋,女鞋,,,休闲,,,中档
花花公子,Playboy,鞋帽,男鞋,,,,青少年,,,大众
波尼,PONY,鞋帽,男鞋,女鞋,,,休闲,,,中档
宝姿,PORTS,鞋帽,配饰,,,,潮流,,,中档
安玛莉,PRECIS,鞋帽,男鞋,女鞋,,,休闲,,,中档
步步高,PUBGO,鞋帽,男鞋,,,,商务,,,大众
彪马,Puma,鞋帽,男鞋,女鞋,童鞋,,运动,,,中档
红蜻蜓,RED DRAGONFLY,鞋帽,男鞋,,,,商务,,,大众
锐步,Reebok,鞋帽,男鞋,,,,休闲,,,中档
思姆,S&M,鞋帽,男鞋,,,,休闲,,,中档
索菲娅,SAFIYA,鞋帽,女鞋,,,,休闲,,,中档
圣琪儿,sanqocher,鞋帽,女鞋,,,,休闲,,,中档
萨瑞儿,SARRIER,鞋帽,女鞋,,,,休闲,,,中档
沙驰,satchi,鞋帽,女鞋,,,,休闲,,,中档
四季风,SEASONAL WINDS,鞋帽,女鞋,,,,休闲,,,大众
思莱德,SELECTED,鞋帽,配饰,,,,商务,,,中档
森达,senda,鞋帽,女鞋,,,,休闲,,,大众
,SHEME,鞋帽,女鞋,,,,休闲,,,中档
真美诗,Simple&Match,鞋帽,女鞋,,,,潮流,,,中档
斯凯奇,SKECHERS,鞋帽,男鞋,,,,休闲,,,中档
星期六,ST&SAT,鞋帽,女鞋,,,,休闲,,,大众
思加图,STACCATO,鞋帽,男鞋,女鞋,,,休闲,,中档,高档
,STELLA LUNA,鞋帽,女鞋,,,,休闲,,,高档
史蒂夫·马登,STEVE MADDEN,鞋帽,女鞋,,,,休闲,,,中档
他她,Tata,鞋帽,女鞋,,,,休闲,,,中档
天美意,teenmix,鞋帽,女鞋,,,,休闲,,,中档
迪宝.阿治奥,tibao aucheho,鞋帽,男鞋,,,,商务,,,中档
添柏岚,timberland,鞋帽,男鞋,女鞋,,,休闲,,,高档
托德斯,TODS,鞋帽,男鞋,女鞋,,,休闲,,,高档
,TOP,鞋帽,女鞋,,,,休闲,,,中档
华伦天奴,VALENTINO,鞋帽,男装,女鞋,,,商务,,,高档
万利威德,VALLEVERDE,鞋帽,女鞋,,,,商务,,,大众
范斯,vans,鞋帽,男鞋,女鞋,童鞋,,休闲,,,中档
范思哲,VERSACE,鞋帽,女鞋,,,,潮流,,,中档
,Waffle,鞋帽,男鞋,,,,休闲,,,中档
奥卡索,Walker Shop,鞋帽,女鞋,,,,休闲,,,中档
,What for,鞋帽,女鞋,,,,休闲,,,高档
妩品牌,WOO,鞋帽,配饰,,,,商务,,,中档
,ZARA,鞋帽,男鞋,女鞋,童鞋,,潮流,,,中档
莎莎苏,zsazsazsu,鞋帽,女鞋,,,,潮流,,,高档
百佳,,鞋帽,女鞋,,,,休闲,,,中档
登好行,,鞋帽,男鞋,,,,休闲,,,大众
贵之步,,鞋帽,女鞋,,,,休闲,,,中档
好人缘,,鞋帽,女鞋,,,,休闲,,,大众
金盾,,鞋帽,男鞋,,,,商务,,,中档
卡弗儿,,鞋帽,女鞋,,,,休闲,,,中档
宝华韦健,B&W,娱乐,其他,,,,,,,
博士,BOSE音响,娱乐,其他,,,,,,,
,CLASSIC,娱乐,其他,,,,,,,
,HOTTO水生活馆,娱乐,其他,,,,,,,
,JBL,娱乐,其他,,,,,,,
城市英雄电玩俱乐部,,娱乐,电玩城,,,,,,,
飞扬影院,,娱乐,电影院,,,,,,,
南国影城,,娱乐,电影院,,,,,,,
上影国际影城,,娱乐,电影院,,,,,,,
同乐童乐城,,娱乐,电玩城,,,,,,,
丸来玩趣,,娱乐,电玩城,,,,,,,
,accessorize,珠宝首饰,金银,,,,,,,高档
阿嘉莎狗狗,AGATHA,珠宝首饰,金银,手表,,,,,,高档
阿茉兰蒂,amarantine,珠宝首饰,金银,,,,,,,高档
芮蕊,ANN·ANN,珠宝首饰,金银,,,,,,,中档
阿努比斯,anubis,珠宝首饰,玉石,金银,,,,,,高档
阿玛尼,armani,珠宝首饰,手表,,,,,,高档,奢侈
雅天妮,ARTINI,珠宝首饰,钻石,,,,,,,高档
名士,Baume&Mercier,珠宝首饰,手表,,,,,,,高档
宝丽格,BVLGARI,珠宝首饰,金银,,,,,,,高档
卡地亚,CARTIER,珠宝首饰,手表,,,,,,,奢侈
卡西欧,CASIO,珠宝首饰,手表,,,,,,,高档
,CENTURY,珠宝首饰,手表,,,,,,,奢侈
,CERRUTI 1881,珠宝首饰,手表,,,,,,,奢侈
香奈儿,CHANEL,珠宝首饰,手表,金银,,,,,,奢侈
,CHARRIOL,珠宝首饰,手表,,,,,,,中档
绰美,CHAUMET,珠宝首饰,手表,,,,,,,奢侈
潮宏基,chj jewellery,珠宝首饰,金银,,,,,,,高档
,citizen,珠宝首饰,手表,,,,,,,高档
,CK,珠宝首饰,手表,,,,,,,高档
蔻驰,COACH,珠宝首饰,手表,,,,,,,奢侈
古驰,cucci,珠宝首饰,手表,,,,,,,奢侈
大卫杜夫,DAVIDOFF,珠宝首饰,手表,,,,,,,高档
迪兰驼,DELACOUR,珠宝首饰,手表,,,,,,,高档
迪奥,dior,珠宝首饰,手表,,,,,,,奢侈
英皇珠宝,emperor,珠宝首饰,婚戒,,,,,,,高档
,enzo,珠宝首饰,钻石,,,,,,,高档
,F.P.JOURNE,珠宝首饰,手表,,,,,,,奢侈
,Fred,珠宝首饰,钻石,,,,,,,高档
,Gemini韩国饰品店,珠宝首饰,钻石,,,,,,,高档
古驰,Gucci,珠宝首饰,手表,金银,,,,,,奢侈
盖尔斯,GUESS,珠宝首饰,手表,,,,,,,中档
汉米尔顿,HAMILTON,珠宝首饰,手表,,,,,,,高档
爱马仕,Hermes,珠宝首饰,手表,,,,,,高档,奢侈
爱马仕,HERMES,珠宝首饰,手表,,,,,,,奢侈
,IDO,珠宝首饰,婚戒,钻石,,,,,,奢侈
,JAEGER-LECOULTRE,珠宝首饰,手表,,,,,,,奢侈
镇金店,Just Gold,珠宝首饰,金银,,,,,,,高档
卡尼亚,kania,珠宝首饰,金银,,,,,,,高档
,KONPLOTT,珠宝首饰,玉石,,,,,,,高档
劳斯顿,LAWSITON,珠宝首饰,手表,,,,,,,奢侈
珑镶,LONGCHAMP,珠宝首饰,钻石,,,,,,,高档
浪琴表,Longines,珠宝首饰,手表,,,,,,,高档
浪琴,LONGINES,珠宝首饰,手表,,,,,,,奢侈
爱与被爱,LOVE&LOVE,珠宝首饰,钻石,,,,,,,高档
,Mcm,珠宝首饰,手表,,,,,,,奢侈
曼古银,mgs,珠宝首饰,金银,,,,,,,高档
美度,mido,珠宝首饰,手表,,,,,,,高档
,NOCTURNE,珠宝首饰,金银,,,,,,,高档
欧米茄,OMEGA,珠宝首饰,手表,,,,,,,奢侈
欧罗普,OROP,珠宝首饰,金银,,,,,,,高档
沛纳海,Panerai,珠宝首饰,手表,,,,,,,奢侈
,PH7,珠宝首饰,金银,,,,,,,高档
,pilgrim,珠宝首饰,钻石,,,,,,,高档
麒麟珠宝,QEELIN,珠宝首饰,钻石,,,,,,,高档
雷达表,RADO,珠宝首饰,手表,,,,,,,高档
劳力士,Rolex,珠宝首饰,手表,,,,,,,奢侈
劳力士,ROLEX,珠宝首饰,手表,,,,,,,奢侈
精工,SEIKO,珠宝首饰,手表,,,,,,,高档
施华洛世奇,Swarovski,珠宝首饰,金银,,,,,,,奢侈
施华洛世奇,Swarovski,珠宝首饰,婚戒,手表,,,,,,奢侈
斯沃琪,SWATCH,珠宝首饰,手表,,,,,,,高档
天美钻,Temix,珠宝首饰,钻石,,,,,,,高档
蒂芙妮,TIFFANY,珠宝首饰,钻石,婚戒,,,,,,奢侈
天梭表,Tissot,珠宝首饰,手表,,,,,,,高档
天梭,TISSOT,珠宝首饰,手表,,,,,,,高档
西铁城,VESAS COLLECTION,珠宝首饰,手表,,,,,,,高档
戴梦得,,珠宝首饰,钻石,,,,,,,高档
顶好坊,,珠宝首饰,钻石,,,,,,,高档
凡高高级珠宝,,珠宝首饰,钻石,,,,,,,高档
福人得,,珠宝首饰,玉石,,,,,,,高档
和玉缘,,珠宝首饰,玉石,,,,,,,高档
亨联达钟表,,珠宝首饰,手表,,,,,,,高档
卡地亚,,珠宝首饰,手表,,,,,,,奢侈
凯妮伊泰莲娜饰品店,,珠宝首饰,钻石,,,,,,,高档
六福珠宝,,珠宝首饰,婚戒,,,,,,,高档
蒙丹娜水晶饰品,,珠宝首饰,金银,,,,,,,高档
明牌首饰,,珠宝首饰,金银,,,,,,,高档
千禧之星,,珠宝首饰,金银,,,,,,,高档
时间廊,,珠宝首饰,手表,,,,,,,高档
谢瑞麟,,珠宝首饰,钻石,,,,,,,高档
玉隆轩,,珠宝首饰,玉石,,,,,,,高档
周大福,,珠宝首饰,婚戒,,,,,,,高档
周生生,,珠宝首饰,婚戒,,,,,,,高档
